"state","year","union_hh_no","union_hh_yes"
"Alabama",2008,0.340209502181776,0.605674568931593
"Alaska",2008,0.3293582944789,0.410162614342265
"Arizona",2008,0.439350361603868,0.490520820697296
"Arkansas",2008,0.396211379275172,0.670016214713099
"California",2008,0.574122088265473,0.602917137903378
"Colorado",2008,0.498174204237993,0.607895891206878
"Connecticut",2008,0.554912718666328,0.670351922207504
"Delaware",2008,0.634439909377504,0.772309746847059
"District of Columbia",2008,0.937660382533089,0.943867944644569
"Florida",2008,0.503606672507489,0.620781125888405
"Georgia",2008,0.433448740856142,0.600693152852132
"Hawaii",2008,0.72924019661042,0.627247496494945
"Idaho",2008,0.340952569234307,0.385868870825699
"Illinois",2008,0.585749822577912,0.652655185601685
"Indiana",2008,0.481409333224457,0.628859348252583
"Iowa",2008,0.478862658371833,0.570814685809401
"Kansas",2008,0.417548613022053,0.433978808195506
"Kentucky",2008,0.394229376384785,0.478572749381319
"Louisiana",2008,0.368732413123085,0.355205857568949
"Maine",2008,0.535762239092282,0.556501434215183
"Maryland",2008,0.683318050046462,0.694294348400713
"Massachusetts",2008,0.619092833752563,0.63255768835262
"Michigan",2008,0.51392781111708,0.622489382885717
"Minnesota",2008,0.495790584326176,0.593255315509395
"Mississippi",2008,0.404215116048857,0.594417675344879
"Missouri",2008,0.465631437298497,0.602602821004884
"Montana",2008,0.518688832459873,0.446403446628638
"Nebraska",2008,0.445197163331307,0.550859049479206
"Nevada",2008,0.442643725127244,0.605865674761348
"New Hampshire",2008,0.51956919064879,0.566078702720065
"New Jersey",2008,0.567342044701616,0.623470712574127
"New Mexico",2008,0.560615567150524,0.582138644277846
"New York",2008,0.637791311826392,0.610326690853433
"North Carolina",2008,0.52581947979341,0.567576827152148
"North Dakota",2008,0.484280548436214,0.61082506731096
"Ohio",2008,0.519715948244587,0.55230404734911
"Oklahoma",2008,0.343308861195797,0.399205419135208
"Oregon",2008,0.475801886055835,0.563688219949171
"Pennsylvania",2008,0.520636628091017,0.565494320271768
"Rhode Island",2008,0.689700194549844,0.757164731706809
"South Carolina",2008,0.489331981026115,0.632823079974943
"South Dakota",2008,0.454369944882718,0.571645408956884
"Tennessee",2008,0.374608234387761,0.568657272790443
"Texas",2008,0.442099098797474,0.570197926336159
"Utah",2008,0.403292335684913,0.55005334215553
"Vermont",2008,0.644125745670369,0.6375795224684
"Virginia",2008,0.598866722566055,0.609264495283701
"Washington",2008,0.542092105284204,0.69857915700292
"West Virginia",2008,0.479271516086073,0.387784042001498
"Wisconsin",2008,0.537539823166977,0.560967750818171
"Wyoming",2008,0.276450662666988,0.479639887466906
"Alabama",2012,0.393583805158911,0.393097807189023
"Alaska",2012,0.463551399894805,0.417648910837236
"Arizona",2012,0.463079435017319,0.442357447269728
"Arkansas",2012,0.407906111843053,0.445335279646767
"California",2012,0.621266389272334,0.581957655537489
"Colorado",2012,0.505908063072312,0.535715376770994
"Connecticut",2012,0.579054986826263,0.567045179260525
"Delaware",2012,0.588116762716197,0.66696380210174
"District of Columbia",2012,0.869755550617274,0.900676575592947
"Florida",2012,0.528052703441433,0.519306155484814
"Georgia",2012,0.481819521057665,0.547329331036284
"Hawaii",2012,0.583563149518432,0.671834257994356
"Idaho",2012,0.25138286825455,0.327020782061063
"Illinois",2012,0.583152852178803,0.585295308033387
"Indiana",2012,0.458537082945528,0.499046074407244
"Iowa",2012,0.477440211519277,0.574467211094746
"Kansas",2012,0.389454472691281,0.48477970853157
"Kentucky",2012,0.401544282338888,0.413301246514215
"Louisiana",2012,0.462842159473659,0.434605116480583
"Maine",2012,0.503316197315678,0.54752544812707
"Maryland",2012,0.612355086182003,0.655498694106163
"Massachusetts",2012,0.599973445276314,0.569521269220018
"Michigan",2012,0.525565512618817,0.572919527431334
"Minnesota",2012,0.508817778477712,0.53782014909308
"Mississippi",2012,0.451329715852315,0.507539202898588
"Missouri",2012,0.445052022270316,0.465731558868294
"Montana",2012,0.407560657527399,0.431435829067433
"Nebraska",2012,0.390162046519567,0.516547644002818
"Nevada",2012,0.527172498008239,0.495058709674169
"New Hampshire",2012,0.483528550887323,0.51283126144763
"New Jersey",2012,0.548787532089959,0.592099381090169
"New Mexico",2012,0.46958657324297,0.492266658855133
"New York",2012,0.654141802797449,0.61808828756607
"North Carolina",2012,0.509785550140017,0.505770004036643
"North Dakota",2012,0.321796992034187,0.361476652028594
"Ohio",2012,0.505461599446764,0.536718841640513
"Oklahoma",2012,0.336939825246775,0.348167668808208
"Oregon",2012,0.559262166396481,0.505036781077207
"Pennsylvania",2012,0.520040682194007,0.513878019661379
"Rhode Island",2012,0.642226100445443,0.699547140415724
"South Carolina",2012,0.491601258320993,0.464474714078271
"South Dakota",2012,0.3907705462241,0.40624686112473
"Tennessee",2012,0.428388997935796,0.483128172806871
"Texas",2012,0.44240920214757,0.501449513345054
"Utah",2012,0.292118532144217,0.31381671410412
"Vermont",2012,0.611082740357436,0.668620231114532
"Virginia",2012,0.495515320691481,0.538284097110962
"Washington",2012,0.551613009234097,0.557870279246677
"West Virginia",2012,0.306383710932471,0.430311150193103
"Wisconsin",2012,0.485041238681886,0.567639045946322
"Wyoming",2012,0.245047028354908,0.336857594504627
"Alabama",2016,0.357375675261289,0.33473165146684
"Alaska",2016,0.321655544888413,0.362756776059821
"Arizona",2016,0.469477137457051,0.40001670147677
"Arkansas",2016,0.302077678994978,0.343524023417832
"California",2016,0.614946944350086,0.620816345999679
"Colorado",2016,0.47269577721015,0.473046794607524
"Connecticut",2016,0.564218976467537,0.535371777265524
"Delaware",2016,0.588146205497952,0.484085156693966
"District of Columbia",2016,0.900505030313437,0.869745840923184
"Florida",2016,0.474097060343862,0.491409714386016
"Georgia",2016,0.450495276660496,0.480388394086037
"Hawaii",2016,0.616290887527541,0.613399483173502
"Idaho",2016,0.239913572692171,0.286270287602575
"Illinois",2016,0.559750117205949,0.54946202831266
"Indiana",2016,0.346551456550729,0.387805709369022
"Iowa",2016,0.352998553977612,0.466221319502812
"Kansas",2016,0.330808459432697,0.431345098945689
"Kentucky",2016,0.314350400580474,0.324005507497251
"Louisiana",2016,0.406885272780642,0.407377532165999
"Maine",2016,0.473841086346976,0.465792707483294
"Maryland",2016,0.617843401961131,0.605668205015462
"Massachusetts",2016,0.606257330094181,0.592169738954931
"Michigan",2016,0.448371900409793,0.486134685533572
"Minnesota",2016,0.431160963583272,0.480728954973181
"Mississippi",2016,0.388243330492133,0.455864796962049
"Missouri",2016,0.368786797535828,0.409398686048246
"Montana",2016,0.278781580906154,0.420592810510265
"Nebraska",2016,0.33168039696226,0.342899898580069
"Nevada",2016,0.472033508705238,0.46659529448289
"New Hampshire",2016,0.478729849352961,0.448109759136425
"New Jersey",2016,0.566945164534532,0.550322108227224
"New Mexico",2016,0.460838793592295,0.493284933366587
"New York",2016,0.606705356159092,0.57724296298754
"North Carolina",2016,0.459272513855623,0.470818104810038
"North Dakota",2016,0.257292910234591,0.306524206840906
"Ohio",2016,0.427261828777351,0.440891115919124
"Oklahoma",2016,0.267310607101198,0.337054649414221
"Oregon",2016,0.503465775218629,0.486957383415371
"Pennsylvania",2016,0.465874127674766,0.475895084120978
"Rhode Island",2016,0.604636987699301,0.557007449027803
"South Carolina",2016,0.426946880952855,0.350747277089048
"South Dakota",2016,0.304207664902632,0.257633931881915
"Tennessee",2016,0.337195328720716,0.385265760668881
"Texas",2016,0.448246065134393,0.445115714412515
"Utah",2016,0.26185113324052,0.338138260364347
"Vermont",2016,0.541726693529852,0.555368843685743
"Virginia",2016,0.492607304203228,0.502973418626608
"Washington",2016,0.510485097128151,0.520958711247499
"West Virginia",2016,0.263121270814933,0.287539779253643
"Wisconsin",2016,0.428467714193624,0.472781144040671
"Wyoming",2016,0.222061081703679,0.247361271683167
"Alabama",2020,0.403650016182671,0.337982348310046
"Alaska",2020,0.428594787817306,0.351792970624362
"Arizona",2020,0.523542773710855,0.425398405347041
"Arkansas",2020,0.331024453058722,0.397616113387512
"California",2020,0.632697715689154,0.63354200344877
"Colorado",2020,0.527572801187392,0.543008343297853
"Connecticut",2020,0.604465822592901,0.597107679891961
"Delaware",2020,0.645348642394743,0.49051810615542
"District of Columbia",2020,0.908530002974667,0.960668714048756
"Florida",2020,0.491326775726822,0.495205597923748
"Georgia",2020,0.502568995229717,0.491732814906012
"Hawaii",2020,0.741122265628503,0.561865453703306
"Idaho",2020,0.36531444601581,0.256948404960559
"Illinois",2020,0.564880954173609,0.592305819324267
"Indiana",2020,0.358293019151544,0.476627133544857
"Iowa",2020,0.409515186422255,0.479649779195989
"Kansas",2020,0.424129572479261,0.450642434800025
"Kentucky",2020,0.333761800879432,0.345935630540733
"Louisiana",2020,0.420119906618111,0.478690931695199
"Maine",2020,0.504862378553964,0.539309480114527
"Maryland",2020,0.656657336678357,0.691551372212537
"Massachusetts",2020,0.638962911044751,0.704923997188864
"Michigan",2020,0.470445310973532,0.53218847567537
"Minnesota",2020,0.447311535484205,0.545748859106366
"Mississippi",2020,0.438484275022017,0.58698763738611
"Missouri",2020,0.386989414299992,0.44541941860717
"Montana",2020,0.328831295996023,0.483161703824833
"Nebraska",2020,0.429920258316721,0.391455665181434
"Nevada",2020,0.533385584036827,0.492998926065212
"New Hampshire",2020,0.506043071222989,0.589800054225809
"New Jersey",2020,0.576901223958574,0.597220393970902
"New Mexico",2020,0.513959482599316,0.567434350819031
"New York",2020,0.617887981611052,0.628696640616528
"North Carolina",2020,0.468448904477226,0.510029298759779
"North Dakota",2020,0.311197661176724,0.432048289292435
"Ohio",2020,0.44788747242677,0.47350005454407
"Oklahoma",2020,0.303123170748429,0.457701986001384
"Oregon",2020,0.543968942864605,0.59200406540603
"Pennsylvania",2020,0.47945552050478,0.506105041072152
"Rhode Island",2020,0.595687116885132,0.615553934548986
"South Carolina",2020,0.441607542418501,0.414236446878558
"South Dakota",2020,0.378942090558203,0.263650626692457
"Tennessee",2020,0.352657067502801,0.440571939200376
"Texas",2020,0.462540060980048,0.492166390786903
"Utah",2020,0.378615710254931,0.49303635143071
"Vermont",2020,0.609278828369162,0.684123879168253
"Virginia",2020,0.552572288057493,0.537829239976613
"Washington",2020,0.572840190863763,0.558707987277181
"West Virginia",2020,0.296529269698081,0.3112398106122
"Wisconsin",2020,0.466103608768581,0.500369653691625
"Wyoming",2020,0.400811355384488,0.154182579513101
